Question	Option A	Option B	Option C	Option D	Correct Answer	Explanation
Which MITRE ATT&CK technique can be utilized by threat actors to disguise their malicious payloads as legitimate files to avoid detection by security controls?	Process Injection (T1055)	Obfuscated Files or Information (T1027)	Valid Accounts (T1078)	Exfiltration Over Other Network Medium (T1048)	B	Threat actors can use the Obfuscated Files or Information (T1027) technique to mask their malicious payloads, making it challenging for security controls to detect them effectively.
Based on the provided document on MITRE ATT&CK techniques, which technique involves an adversary performing malicious actions through a compromised account to maintain access to a network over time?	Replication Through Removable Media (T1091 - Replication Through Removable Media)	Credential Dumping (T1003 - Credential Dumping)	Valid Accounts (T1078 - Valid Accounts)	Remote File Copy (T1105 - Remote File Copy)	C	Adversaries commonly use compromised accounts as a means to maintain access to a network over an extended period. The Valid Accounts technique (T1078 - Valid Accounts) specifically refers to this behavior in
Which MITRE ATT&CK technique involves an adversary using a malicious USB device to gain access to a system by exploiting the Autorun functionality?	Exfiltration Over Alternative Protocol (T1048)	Exploitation for Client Execution (T1203)	Peripheral Device Discovery (T1120)	Peripheral Device Enumeration (T1123)	C	Adversaries can use the Peripheral Device Discovery technique (T1120) to gain access to a system by exploiting the Autorun functionality of a malicious USB device.
Which MITRE ATT&CK technique is commonly associated with adversaries conducting reconnaissance by querying information from public sources and databases?	(A) - Query Registry	(B) - Search Open Websites	(C) - System Information Discovery	(D) - Remote File Copy	C	System Information Discovery
Which MITRE ATT&CK technique involves an adversary sending malicious attachments via spearphishing emails to gather information from the victim's machine?	Tasking (T1190)	Phishing for Information (T1598)	Obfuscated Files or Information (T1027)	User Execution (T1204)	B	Phishing for Information (T1598) is the technique used by threat actors to send deceptive emails with malicious attachments or links to trick victims into revealing sensitive information or executing payloads on their systems.
In the context of MITRE ATT&CK for Enterprise, which technique involves an adversary sending emails with malicious attachments to targeted individuals to gain initial access?	A: Spearphishing Attachment	B: Exploit Public-Facing Application	C: Data Manipulation	D: User Execution	A	Spearphishing Attachment (T1566.001) is the technique where an adversary sends emails with malicious attachments to gain initial access. The other options are not directly related to this initial access method.
In the context of MITRE ATT&CK for Enterprise, which technique involves an attacker using social engineering to deceive users into compromising their credentials through phishing emails or messages?	Reconnaissance: Remote System Discovery	Initial Access: Phishing	Execution: User Execution	Defense Evasion: Masquerade as Legitimate Application	B	Phishing is a technique under the Initial Access tactics in MITRE ATT&CK for Enterprise, where attackers trick users into revealing sensitive information through deceptive means like phishing emails or messages.
"Which MITRE ATT&CK technique involves an adversary abusing functionality to escalate privileges using a technique known as ""Golden Ticket""?"	 A. T1552.004 - Unsecured Credentials: Credentials in Registry	B. T1553.001 - Exploitation for Privilege Escalation: Exploitation of Remote Services	C. T1556.002 - Modify Registry: Registry Run Keys / Startup Folder	D. T1550 - Use Alternate Authentication Material	B	T1552.004 refers to credentials stored in the Windows registry, T1553.001 is related to exploiting remote services, T1556.002 involves modifying registry run keys, and T
Which MITRE ATT&CK technique involves an adversary leveraging a known vulnerability in a web server to gain unauthorized access to the target system?	Option A	Option B	Option C	Option D	B	Technique ID: T1190 - Exploit Public-Facing Application
Which MITRE ATT&CK technique involves an adversary sending a large number of connection requests to a target with the goal of exhausting the target's resources?	TCP SYN Flood (T1073 - External Remote Services)	Exfiltration Over Alternative Protocol (T1048 - Exfiltration Over Other Network Medium)	Service Stop (T1489 - Service Stop)	Resource Exhaustion (T1498 - Network Denial of Service)	D	Resource Exhaustion (T1498 - Network Denial of Service)
Which MITRE ATT&CK technique involves a threat actor establishing persistence by modifying the Windows Registry to maintain execution across system reboots?	Process Injection: Process Hollowing	Service Execution: Service Registry Permissions Weakness	Persistence: Registry Run Keys / Startup Folder	Defense Evasion: Indicator Removal on Host	C	Persistence: Registry Run Keys / Startup Folder is associated with MITRE ATT&CK technique ID T1547.001 and involves modifying the Windows Registry for maintaining execution. Process Injection and Service Execution are not directly related to establishing persistence through Registry modification. Defense Evasion focuses on indicator removal, not persistence.
Which technique from the MITRE ATT&CK framework is commonly associated with adversaries using malicious email attachments to deliver malware?	Process Injection (T1055)	Phishing for Information (T1598)	Exfiltration over C2 Channel (T1041)	Spearphishing Attachment (T1566.001)	D	Spearphishing Attachment (T1566.001) is a specific technique under the Initial Access tactic in the MITRE ATT&CK framework that involves adversaries sending emails with malicious attachments to deliver malware. This technique is commonly used by threat actors to gain an initial foothold into a target network.
Which MITRE ATT&CK technique involves an adversary sending emails with malicious attachments to deceive the victim into executing the attachment, ultimately leading to a compromise?	(A) Spearphishing Attachment	(B) Exploit Public-Facing Application	(C) Data Encrypted for Impact	(D) Data Manipulation	Spearphishing Attachment	A spearphishing attachment involves sending emails with malicious attachments to deceive the victim into executing the attachment, leading to compromise.
